"Host","Year","Winner"
"russia",2018,"France"
"brazil",2014,"Germany"
"southafrica",2010,"Spain"
"germany",2006,"Italy"
"koreajapan",2002,"Brazil"
"france",1998,"France"
"usa",1994,"Brazil"
"italy",1990,"Germany"
"mexico",1986,"Argentina"
"spain",1982,"Italy"
"argentina",1978,"Argentina"
"germany",1974,"Germany"
"mexico",1970,"Brazil"
"england",1966,"England"
"chile",1962,"Brazil"
"sweden",1958,"Brazil"
"switzerland",1954,"Germany"
"brazil",1950,"Uruguay"
"france",1938,"Italy"
"italy",1934,"Italy"
"uruguay",1930,"Uruguay"
